,hotel_name,hotel_url,city_name,score,description,location,hotel_latitude,hotel_longtitude
0,Lagrange Vacances Les Chalets d’Ax,https://www.booking.com/hotel/fr/residence-les-chalets-d-ax.html,Ariege,7.6,"Lagrange Vacances Les Chalets d’Ax is located in Ax-Les-Thermes, 800 m from the town centre and ski lifts. It offers WiFi in the apartments at an extra cost and an outdoor seasonal heated swimming pool. Lagrange Vacances Les Chalets d’Ax provides studios and apartments with a private balcony or terrace. They each have a kitchen equipped with a dishwasher and microwave. Local leisure activities include fishing in the Ariege River, cycling and hiking. In winter, during holidays and week-ends, free shuttles run from the property to Ax-les-Thermes ski lift. Tarascon Prehistoric Art Park and the Niaux caves can be visited a 30-minute drive from Lagrange Vacances Les Chalets d’Ax which provides free private parking. ","Quartier De Castel Maou - Chemin d'Aouredou -, Route d'Andorre RN 20, 09110 Ax-les-Thermes, France",42.71383156,1.83920681
1,GuestReady - Cozy perfection in the city centre,https://www.booking.com/hotel/fr/guestready-top-floor-apt-in-the-city-centre.html,Annecy,8.0,"Located in the centre of Annecy, 37 km from Rochexpo and 38 km from Bourget Lake, GuestReady - Cozy perfection in the city centre offers free WiFi. This apartment is 46 km from Gare de Cornavin and 46 km from St. Pierre Cathedral. The apartment with a balcony and city views features 2 bedrooms, a living room, a TV, an equipped kitchen with a fridge and an oven, and 1 bathroom with a bath or shower. Towels and bed linen are provided in the apartment. Speaking English and French, staff will be happy to provide guests with practical guidance on the area at the reception. If you would like to discover the area, cycling is possible in the surroundings. Stade de Genève is 43 km from the apartment, while Jet d'Eau is 46 km away. The nearest airport is Chambéry-Savoie Airport, 43 km from GuestReady - Cozy perfection in the city centre. ","8 Rue Camille Dunant, 74000 Annecy, France",45.89994070,6.12705460
2,Les gîtes de Beille,https://www.booking.com/hotel/fr/les-gites-de-beille.html,Ariege,8.1,"Located in Les Cabannes in the Midi-Pyrénées region and Col de la Crouzette reachable within 45 km, Les gîtes de Beille provides accommodation with free WiFi, BBQ facilities, a garden and free private parking. All units come with a terrace with mountain views, a kitchenette with a fridge and a microwave, and a private bathroom with shower. For added convenience, the property can provide towels and bed linen for an extra charge. Guests at the apartment can enjoy mini-golf on site, or hiking in the surroundings. Grotte de Lombrives is 8.2 km from Les gîtes de Beille, while Niaux Cave is 14 km away. The nearest airport is Andorra–La Seu d'Urgell Airport, 96 km from the accommodation. ","25 Quartier la Bexane, 09310 Les Cabannes, France",42.78555710,1.68166541
3,Le petit nid,https://www.booking.com/hotel/fr/le-petit-nid-montgaillard.html,Ariege,9.2,"Offering garden views, Le petit nid is an accommodation set in Montgaillard, 38 km from Col de la Crouzette and 5 km from Foix Castle. This property offers access to a patio, bowling in the bowling alley, and free WiFi. The apartment is fitted with 1 bedroom, 1 bathroom, bed linen, towels, a flat-screen TV with cable channels, a dining area, a fully equipped kitchen, and a terrace with mountain views. Guests at the apartment can enjoy hiking nearby, or make the most of the garden. Underground River of Labouiche is 11 km from Le petit nid, while Bedeilhac Cave is 16 km away. The nearest airport is Carcassonne Airport, 79 km from the accommodation. ","RDC 1 Rue de la Place, 09330 Montgaillard, France",42.93227802,1.63516787
4,Appartement Fontargente,https://www.booking.com/hotel/fr/appartement-fontargente.html,Ariege,9.2,"Appartement Fontargente is located in Ax-les-Thermes, 24 km from Talc Career of Trimouns and 25 km from Grotte de Lombrives, in an area where skiing can be enjoyed. The accommodation is 48 km from Meritxell sanctuary, and guests benefit from private parking available on site and free WiFi. The apartment with a balcony and mountain views features 2 bedrooms, a living room, a flat-screen TV, an equipped kitchen with a fridge and a dishwasher, and 1 bathroom with a shower. Towels and bed linen are featured in the apartment. Ski storage space is available on site. Fountain Fontestorbes is 45 km from the apartment. The nearest airport is Andorra–La Seu d'Urgell Airport, 80 km from Appartement Fontargente. ","premier étage 19 Avenue Docteur François Gomma, 09110 Ax-les-Thermes, France",42.71847547,1.84064515
5,Chalet bois au milieu des Pyrénées,https://www.booking.com/hotel/fr/chalet-bois-au-milieu-des-pyrenees.html,Ariege,9.1,"Featuring a terrace and a 24-hour front desk, Chalet bois au milieu des Pyrénées is well located in LʼHospitalet-près-lʼAndorre, 30 km from Meritxell sanctuary and 23 km from Real Club de Golf de Cerdaña. This chalet provides free private parking and a shared kitchen. The chalet with a balcony and mountain views features 2 bedrooms, a living room, a flat-screen TV, an equipped kitchen with a fridge and an oven, and 1 bathroom with a shower. After a day of hiking, skiing or fishing, guests can relax in the garden or in the shared lounge area. Municipal Museum of Llivia is 28 km from the chalet, while Font-Romeu Golf Course is 38 km away. The nearest airport is Andorra–La Seu d'Urgell Airport, 62 km from Chalet bois au milieu des Pyrénées. ","3 Las Planos, 09390 LʼHospitalet-près-lʼAndorre, France",42.58990385,1.79836833
6,Terres de France - Domaine du Palais,https://www.booking.com/hotel/fr/terres-de-france-domaine-du-palais.html,Ariege,7.5,"Located in Saint-Lizier in the Midi-Pyrénées region, with Chruch of Saint Lizier nearby, Terres de France - Domaine du Palais provides accommodation with free WiFi and free private parking. Each unit comes with a seating area, a flat-screen TV, a well-fitted kitchenette with a dining area, and a private bathroom with a hairdryer. A fridge, a microwave and stovetop are also provided, as well as a kettle. There is a shared lounge at this property and guests can go hiking nearby. Col de la Crouzette is 26 km from the aparthotel, while Ariege Golf Club is 32 km away. The nearest airport is Toulouse-Blagnac Airport, 97 km from Terres de France - Domaine du Palais. ","Chemin du Parc Le Palais des Evêques, 09190 Saint-Lizier, France",43.00305100,1.13713000
7,Résidence Néméa Les Balcons d'Ax,https://www.booking.com/hotel/fr/residence-les-balcons-d-ax.html,Ariege,7.1,"Résidence Néméa Les Balcons d'Ax is located in Bonascre, 15 minutes' drive from the centre of Ax-les-Thermes, at the foot of the ski lift. It offers a heated indoor swimming pool and a sauna. Each apartment and studio in the Résidence Les Balcons D'ax has a dining area and a fully equipped kitchenette. Les Balcons D'ax offers free WiFi in public areas and free parking. Guests can explore the region by snow shoeing during the winter and discover the unique flora and fauna in the National Wildlife Reserve during the summer. ","Station De Bonascre, 09110 Ax-les-Thermes, France",42.70237131,1.81530745
8,Gite De Charme,https://www.booking.com/hotel/fr/gite-de-charme-ganac.html,Ariege,9.7,"Situated 7.4 km from Foix Castle, 14 km from Underground River of Labouiche and 20 km from Ariege Golf Club, Gite De Charme features accommodation set in Ganac. The accommodation is 34 km from Col de la Crouzette, and guests benefit from private parking available on site and free WiFi. The holiday home has 2 bedrooms, 1 bathroom, bed linen, towels, a flat-screen TV, a dining area, a fully equipped kitchen, and a balcony with mountain views. Bedeilhac Cave is 25 km from the holiday home, while Grotte de Lombrives is 26 km from the property. The nearest airport is Carcassonne Airport, 83 km from Gite De Charme. ","Hameau de Micou, 09000 Ganac, France",42.93592330,1.57316923
9,Résidence Maurice,https://www.booking.com/hotel/fr/ourson-ax-les-thermes1.html,Ariege,9.1,"Located in Ax-les-Thermes, 48 km from Meritxell sanctuary, and Talc Career of Trimouns reachable within 24 km, Résidence Maurice offers a terrace, ski-to-door access and free WiFi. The accommodation comes with a flat-screen TV and a private bathroom with shower and a hairdryer, while the kitchen features a fridge, an oven and a dishwasher. A microwave, a stovetop and toaster are also provided, as well as a coffee machine and a kettle. Hiking, skiing and cycling are possible within the area, and a casino is available on site. Grotte de Lombrives is 25 km from the apartment, while Fountain Fontestorbes is 46 km away. The nearest airport is Andorra–La Seu d'Urgell Airport, 80 km from Résidence Maurice. ","14 Rue François Mansard, 09110 Ax-les-Thermes, France",42.72068850,1.83817110
10,"Grange rénovée, Pyrénées Ariégeoises",https://www.booking.com/hotel/fr/grange-renovee-pyrenees-ariegeoises.html,Ariege,9.3,"Featuring mountain views, Grange rénovée, Pyrénées Ariégeoises provides accommodation with a terrace and a balcony, around 47 km from Col de la Crouzette. The property features garden views and is 19 km from Niaux Cave and 24 km from Grotte de Lombrives. This holiday home is equipped with 2 bedrooms, a kitchen with a fridge and an oven, a flat-screen TV, a seating area and 1 bathroom equipped with a shower. There is a garden with a barbecue at this property and guests can go hiking and skiing nearby. Bedeilhac Cave is 27 km from the holiday home, while Foix Castle is 39 km away. The nearest airport is Carcassonne Airport, 113 km from Grange rénovée, Pyrénées Ariégeoises. ","lieu dit LAUJOU, 09220 Auzat, France",42.72477458,1.45421439
11,Camping Le Castella,https://www.booking.com/hotel/fr/camping-le-castella.html,Ariege,8.3,"Boasting mountain views, Camping Le Castella features accommodation with a seasonal outdoor swimming pool and a balcony, around 15 km from Talc Career of Trimouns. The 1-star chalet is 16 km from Grotte de Lombrives. The chalet has 2 bedrooms, a flat-screen TV with cable channels, an equipped kitchenette with a fridge and an oven, and 1 bathroom with a shower. Featuring free private parking, this 1-star chalet also features free WiFi. If you would like to discover the area, skiing is possible in the surroundings. Niaux Cave is 22 km from the chalet, while Bedeilhac Cave is 23 km from the property. The nearest airport is Andorra–La Seu d'Urgell Airport, 88 km from Camping Le Castella. ","4 Route Du Castella, 09250 Luzenac, France",42.75908362,1.76367215
