dt,sunrise,sunset,pressure,humidity,dew_point,wind_speed,wind_deg,wind_gust,clouds,pop,rain,uvi,snow,temp_day,temp_min,temp_max,temp_night,temp_eve,temp_morn,feels_like_day,feels_like_night,feels_like_eve,feels_like_morn,weather_id,weather_main,weather_description,city_name
2023-02-22 13:00:00,2023-02-22 08:02:13,2023-02-22 18:37:18,1014,93,7.63,7.12,330,10.53,94,0.66,1.25,1.17,,8.87,6.21,9.17,6.21,8.39,6.85,6.03,3.88,5.9,5.31,500.0,Rain,light rain,Mont Saint-Michel
2023-02-23 13:00:00,2023-02-23 08:00:22,2023-02-23 18:38:55,1017,84,4.75,9.05,41,14.73,100,0.61,1.11,1.24,,7.5,3.73,7.83,6.93,7.08,3.98,3.84,2.39,2.81,1.19,500.0,Rain,light rain,Mont Saint-Michel
2023-02-24 13:00:00,2023-02-24 07:58:29,2023-02-24 18:40:31,1012,65,2.63,8.4,44,14.43,78,0.24,,1.75,,9.09,4.43,9.55,6.8,6.79,4.68,6.06,3.78,3.61,0.51,803.0,Clouds,broken clouds,Mont Saint-Michel
2023-02-25 13:00:00,2023-02-25 07:56:35,2023-02-25 18:42:07,1016,62,0.45,8.55,49,12.59,69,0.18,,1.25,,7.58,3.39,7.58,3.39,5.15,4.42,3.74,-0.56,0.84,0.63,803.0,Clouds,broken clouds,Mont Saint-Michel
2023-02-26 13:00:00,2023-02-26 07:54:41,2023-02-26 18:43:42,1024,48,-4.39,9.55,51,14.8,8,0.04,,2.04,,5.86,1.2,6.17,1.2,3.52,1.85,0.85,-3.96,-1.56,-2.5,800.0,Clear,clear sky,Mont Saint-Michel
2023-02-27 13:00:00,2023-02-27 07:52:45,2023-02-27 18:45:17,1029,43,-6.21,7.96,47,12.29,2,0.0,,3.0,,5.71,-1.3,6.03,-0.05,2.38,-1.3,1.11,-4.65,-2.61,-6.57,800.0,Clear,clear sky,Mont Saint-Michel
2023-02-28 13:00:00,2023-02-28 07:50:49,2023-02-28 18:46:52,1022,47,-4.98,5.88,45,9.82,4,0.0,,3.0,,5.55,-2.49,6.3,1.22,2.98,-2.49,1.98,-2.56,-0.79,-7.3,800.0,Clear,clear sky,Mont Saint-Michel
2023-02-22 13:00:00,2023-02-22 08:04:18,2023-02-22 18:39:21,1014,88,6.97,8.32,335,10.83,98,0.97,1.28,1.35,,8.98,7.11,9.35,7.11,8.13,7.65,5.77,3.65,4.82,5.52,500.0,Rain,light rain,Saint-Malo
2023-02-23 13:00:00,2023-02-23 08:02:26,2023-02-23 18:40:57,1017,81,4.37,11.52,40,15.1,100,0.49,0.36,1.36,,7.51,5.73,8.01,7.24,7.57,5.78,3.33,2.29,2.9,2.66,500.0,Rain,light rain,Saint-Malo
2023-02-24 13:00:00,2023-02-24 08:00:33,2023-02-24 18:42:33,1013,71,2.73,10.32,43,14.48,79,0.39,,1.76,,7.64,5.63,8.49,7.53,7.47,5.82,3.82,3.83,3.79,1.01,803.0,Clouds,broken clouds,Saint-Malo
2023-02-25 13:00:00,2023-02-25 07:58:40,2023-02-25 18:44:09,1016,64,0.59,10.48,49,13.36,77,0.29,0.69,0.83,,7.05,5.51,7.54,5.68,6.4,5.51,2.77,0.96,1.49,0.81,500.0,Rain,light rain,Saint-Malo
2023-02-26 13:00:00,2023-02-26 07:56:45,2023-02-26 18:45:44,1024,56,-2.31,11.14,54,15.34,18,0.32,0.13,2.05,,5.75,3.75,6.07,3.75,4.96,4.58,0.39,-1.71,-0.62,-0.09,500.0,Rain,light rain,Saint-Malo
2023-02-27 13:00:00,2023-02-27 07:54:49,2023-02-27 18:47:20,1029,50,-4.2,10.03,52,13.13,1,0.0,,3.0,,5.44,1.78,5.83,3.18,4.21,1.78,0.42,-1.99,-1.47,-3.82,800.0,Clear,clear sky,Saint-Malo
2023-02-28 13:00:00,2023-02-28 07:52:53,2023-02-28 18:48:54,1022,53,-4.19,7.09,53,9.67,0,0.0,,3.0,,4.59,1.06,5.92,4.57,4.39,1.06,0.4,0.26,-0.3,-4.2,800.0,Clear,clear sky,Saint-Malo
2023-02-22 13:00:00,2023-02-22 08:00:01,2023-02-22 18:33:02,1013,94,8.57,6.86,308,10.32,86,0.82,1.74,0.46,,9.39,5.09,10.06,5.09,8.14,5.99,7.12,2.23,5.53,3.23,500.0,Rain,light rain,Bayeux
2023-02-23 13:00:00,2023-02-23 07:58:07,2023-02-23 18:34:41,1017,83,4.4,9.84,43,13.19,100,0.32,0.56,0.68,,7.02,4.8,7.5,6.7,6.99,5.45,3.08,2.37,2.46,2.25,500.0,Rain,light rain,Bayeux
2023-02-24 13:00:00,2023-02-24 07:56:12,2023-02-24 18:36:19,1013,78,3.44,8.06,42,11.3,99,0.35,0.21,1.74,,7.05,4.33,7.41,6.43,7.02,4.66,4.06,2.11,3.29,0.78,500.0,Rain,light rain,Bayeux
2023-02-25 13:00:00,2023-02-25 07:54:16,2023-02-25 18:37:58,1017,74,1.99,9.64,49,13.54,97,0.62,1.22,1.39,,6.28,4.62,6.48,5.23,5.52,4.68,1.67,0.43,0.39,0.43,500.0,Rain,light rain,Bayeux
2023-02-26 13:00:00,2023-02-26 07:52:19,2023-02-26 18:39:35,1025,49,-4.73,10.62,60,15.92,21,0.0,,1.95,,5.25,2.07,5.41,2.42,3.96,2.73,-0.24,-3.08,-1.78,-2.55,801.0,Clouds,few clouds,Bayeux
2023-02-27 13:00:00,2023-02-27 07:50:21,2023-02-27 18:41:13,1030,51,-4.63,8.63,50,12.53,4,0.0,,2.0,,4.59,1.02,4.93,2.24,3.41,1.02,-0.4,-2.95,-1.87,-4.12,800.0,Clear,clear sky,Bayeux
2023-02-28 13:00:00,2023-02-28 07:48:22,2023-02-28 18:42:50,1023,55,-4.07,7.06,47,10.61,5,0.0,,2.0,,4.16,-0.23,4.93,3.56,3.83,-0.23,-0.24,-1.06,-0.7,-5.4,800.0,Clear,clear sky,Bayeux
2023-02-22 13:00:00,2023-02-22 07:57:08,2023-02-22 18:29:26,1013,92,7.81,7.13,307,9.57,70,1.0,1.79,0.92,,9.2,7.76,9.27,7.85,8.51,7.96,7.26,4.75,5.44,5.16,500.0,Rain,light rain,Le Havre
2023-02-23 13:00:00,2023-02-23 07:55:13,2023-02-23 18:31:06,1017,79,4.4,9.51,40,12.66,100,0.2,,1.13,,7.81,6.85,7.89,6.88,7.38,6.95,4.06,2.65,3.01,3.57,804.0,Clouds,overcast clouds,Le Havre
2023-02-24 13:00:00,2023-02-24 07:53:17,2023-02-24 18:32:45,1012,78,3.43,7.84,40,10.92,100,0.02,,1.72,,7.08,5.03,7.61,6.04,7.61,5.11,4.41,1.79,4.45,1.06,804.0,Clouds,overcast clouds,Le Havre
2023-02-25 13:00:00,2023-02-25 07:51:20,2023-02-25 18:34:24,1016,71,1.79,9.31,43,12.67,99,0.52,0.82,1.58,,6.77,4.89,7.46,4.91,6.1,5.22,2.47,0.33,1.34,1.16,500.0,Rain,light rain,Le Havre
2023-02-26 13:00:00,2023-02-26 07:49:22,2023-02-26 18:36:03,1025,44,-6.36,10.61,58,16.2,2,0.0,,1.93,,5.2,2.07,5.8,2.46,4.17,2.41,-0.19,-2.92,-1.02,-3.01,800.0,Clear,clear sky,Le Havre
2023-02-27 13:00:00,2023-02-27 07:47:24,2023-02-27 18:37:41,1030,43,-7.09,8.77,45,11.64,1,0.0,,2.0,,4.68,1.0,5.62,2.56,4.05,1.0,-0.3,-2.66,-0.87,-4.43,800.0,Clear,clear sky,Le Havre
2023-02-28 13:00:00,2023-02-28 07:45:24,2023-02-28 18:39:19,1023,48,-5.53,7.17,53,12.26,1,0.0,,2.0,,4.75,0.21,6.44,3.58,4.49,0.21,0.6,-1.38,0.15,-5.49,800.0,Clear,clear sky,Le Havre
2023-02-22 13:00:00,2023-02-22 07:53:07,2023-02-22 18:25:34,1013,77,7.63,5.0,299,9.29,91,0.93,1.5,1.62,,11.99,5.82,11.99,7.05,8.99,5.94,11.26,5.27,6.33,3.93,500.0,Rain,light rain,Rouen
2023-02-23 13:00:00,2023-02-23 07:51:12,2023-02-23 18:27:14,1016,88,4.84,5.88,33,11.15,100,0.07,,0.71,,7.18,4.97,8.08,6.19,7.35,6.19,3.82,2.71,3.98,3.62,804.0,Clouds,overcast clouds,Rouen
2023-02-24 13:00:00,2023-02-24 07:49:16,2023-02-24 18:28:53,1011,70,2.28,5.44,27,11.73,99,0.0,,1.67,,7.75,2.07,8.09,3.04,6.61,2.17,5.35,-0.43,3.71,-1.0,804.0,Clouds,overcast clouds,Rouen
2023-02-25 13:00:00,2023-02-25 07:47:19,2023-02-25 18:30:32,1016,58,-0.93,7.15,31,13.93,95,0.17,,1.39,,7.17,2.22,8.02,2.56,4.41,3.84,3.48,-2.05,-0.05,0.95,804.0,Clouds,overcast clouds,Rouen
2023-02-26 13:00:00,2023-02-26 07:45:22,2023-02-26 18:32:10,1024,41,-7.95,10.07,54,16.06,1,0.0,,1.92,,4.67,-0.7,5.3,-0.7,1.58,0.15,-0.87,-5.75,-3.3,-5.13,800.0,Clear,clear sky,Rouen
2023-02-27 13:00:00,2023-02-27 07:43:23,2023-02-27 18:33:48,1029,36,-9.2,7.57,49,13.57,0,0.0,,2.0,,4.9,-1.77,5.43,-0.28,1.5,-1.77,0.19,-5.31,-3.01,-7.16,800.0,Clear,clear sky,Rouen
2023-02-28 13:00:00,2023-02-28 07:41:24,2023-02-28 18:35:26,1022,46,-5.76,7.03,56,13.38,2,0.0,,2.0,,5.27,-2.3,6.25,0.44,2.45,-2.3,1.22,-4.42,-1.84,-7.84,800.0,Clear,clear sky,Rouen
2023-02-22 13:00:00,2023-02-22 07:47:16,2023-02-22 18:21:36,1013,65,5.91,3.14,231,6.98,100,0.76,0.72,1.65,,12.58,8.62,13.12,9.36,9.08,9.25,11.59,7.92,7.75,8.13,500.0,Rain,light rain,Paris
2023-02-23 13:00:00,2023-02-23 07:45:24,2023-02-23 18:23:14,1015,82,6.99,4.78,27,9.83,100,0.55,,1.37,,10.12,7.91,10.64,8.05,8.68,7.91,9.33,5.54,6.23,6.58,804.0,Clouds,overcast clouds,Paris
2023-02-24 13:00:00,2023-02-24 07:43:30,2023-02-24 18:24:51,1011,49,-1.84,4.76,11,9.2,96,0.0,,1.75,,8.53,5.39,9.73,5.55,7.77,5.72,6.57,2.58,5.15,3.14,804.0,Clouds,overcast clouds,Paris
2023-02-25 13:00:00,2023-02-25 07:41:36,2023-02-25 18:26:27,1014,51,-2.69,5.44,28,11.4,85,0.0,,1.89,,6.97,3.75,7.99,3.89,6.11,4.03,3.75,-0.18,2.97,1.23,804.0,Clouds,overcast clouds,Paris
2023-02-26 13:00:00,2023-02-26 07:39:40,2023-02-26 18:28:03,1022,33,-10.61,7.29,46,12.95,1,0.0,,1.95,,4.25,1.03,5.58,1.83,3.73,1.37,-0.54,-2.92,-0.76,-3.67,800.0,Clear,clear sky,Paris
2023-02-27 13:00:00,2023-02-27 07:37:44,2023-02-27 18:29:39,1027,29,-12.21,6.48,45,12.1,0,0.0,,2.0,,4.7,-0.53,6.07,1.95,3.97,-0.53,0.32,-2.16,0.25,-5.39,800.0,Clear,clear sky,Paris
2023-02-28 13:00:00,2023-02-28 07:35:47,2023-02-28 18:31:15,1020,42,-6.78,5.52,56,11.97,10,0.0,,2.0,,5.3,-0.82,7.38,3.49,5.43,-0.82,1.53,-0.01,2.42,-5.51,800.0,Clear,clear sky,Paris
